产品1,产品2,关联度,关联类型
ID239,ID154,0.12334400000000001,特色餐饮-景区
ID300,ID346,0.12334400000000001,景区-特色餐饮
ID346,ID300,0.12334400000000001,特色餐饮-景区
ID5,ID57,0.12334400000000001,特色餐饮-景区
ID57,ID5,0.12334400000000001,景区-特色餐饮
ID147,ID283,0.10446001999999999,酒店-景点
ID283,ID147,0.10446001999999999,景点-酒店
ID211,ID333,0.10446001999999999,景点-特色餐饮
ID333,ID211,0.10446001999999999,特色餐饮-景点
ID222,ID265,0.10446001999999999,景区-酒店
ID265,ID222,0.10446001999999999,酒店-景区
ID139,ID178,0.10446001999999999,酒店-景区
ID178,ID139,0.10446001999999999,景区-酒店
ID154,ID222,0.10446001999999999,景区-景区
ID222,ID154,0.10446001999999999,景区-景区
ID1,ID106,0.10446001999999999,特色餐饮-景区
ID1,ID118,0.10446001999999999,特色餐饮-特色餐饮
ID106,ID1,0.10446001999999999,景区-特色餐饮
ID106,ID118,0.10446001999999999,景区-特色餐饮
ID118,ID1,0.10446001999999999,特色餐饮-特色餐饮
ID118,ID106,0.10446001999999999,特色餐饮-景区
ID283,ID333,0.10446001999999999,景点-特色餐饮
ID333,ID283,0.10446001999999999,特色餐饮-景点
ID34,ID365,0.09097142,酒店-景区
ID154,ID365,0.09097142,景区-景区
ID239,ID365,0.08085500000000001,特色餐饮-景区
ID265,ID365,0.08085500000000001,酒店-景区
ID365,ID34,0.08085500000000001,景区-酒店
ID365,ID154,0.08085500000000001,景区-景区
ID365,ID239,0.08085500000000001,景区-特色餐饮
ID365,ID265,0.08085500000000001,景区-酒店
ID1,ID222,0.08085500000000001,特色餐饮-景区
ID106,ID222,0.08085500000000001,景区-景区
ID118,ID222,0.08085500000000001,特色餐饮-景区
ID222,ID1,0.08085500000000001,景区-特色餐饮
ID222,ID106,0.07298666000000001,景区-景区
ID222,ID118,0.07298666000000001,景区-特色餐饮
ID283,ID347,0.07298666000000001,景点-特色餐饮
ID347,ID283,0.07298666000000001,特色餐饮-景点
ID4,ID391,0.07298666000000001,特色餐饮-景区
ID391,ID4,0.07298666000000001,景区-特色餐饮
ID147,ID383,0.07298666000000001,酒店-景点
ID383,ID147,0.07298666000000001,景点-酒店
ID34,ID222,0.066692,酒店-景区
ID34,ID298,0.066692,酒店-景区
ID154,ID298,0.06154184,景区-景区
ID222,ID34,0.06154184,景区-酒店
ID222,ID239,0.06154184,景区-特色餐饮
ID222,ID298,0.06154184,景区-景区
ID222,ID365,0.05724998,景区-景区
ID239,ID222,0.05724998,特色餐饮-景区
ID239,ID298,0.05724998,特色餐饮-景区
ID265,ID298,0.05724998,酒店-景区
ID298,ID34,0.05724998,景区-酒店
ID298,ID154,0.05724998,景区-景区
ID298,ID222,0.05724998,景区-景区
ID298,ID239,0.05724998,景区-特色餐饮
ID298,ID265,0.05724998,景区-酒店
ID298,ID365,0.05724998,景区-景区
ID365,ID222,0.05361848,景区-景区
ID365,ID298,0.05361848,景区-景区
ID11,ID283,0.05361848,特色餐饮-景点
ID283,ID11,0.05361848,景点-特色餐饮
ID296,ID371,0.05361848,酒店-景点
ID371,ID296,0.05361848,景点-酒店
ID333,ID347,0.05361848,特色餐饮-特色餐饮
ID347,ID333,0.05361848,特色餐饮-特色餐饮
ID313,ID391,0.05361848,特色餐饮-景区
ID391,ID313,0.05361848,景区-特色餐饮
ID4,ID313,0.05361848,特色餐饮-特色餐饮
ID313,ID4,0.05361848,特色餐饮-特色餐饮
ID139,ID275,0.04361848,酒店-景区
ID275,ID139,0.04361848,景区-酒店
ID139,ID267,0.04361848,酒店-酒店
ID267,ID139,0.04361848,酒店-酒店
ID252,ID281,0.04361848,酒店-景点
ID281,ID252,0.04361848,景点-酒店
ID283,ID314,0.04361848,景点-特色餐饮
ID314,ID283,0.04361848,特色餐饮-景点
ID360,ID391,0.04361848,酒店-景区
ID391,ID360,0.04361848,景区-酒店
ID124,ID322,0.04361848,酒店-特色餐饮
ID322,ID124,0.04361848,特色餐饮-酒店
ID190,ID391,0.04361848,景点-景区
ID391,ID190,0.04361848,景区-景点
ID19,ID52,0.04361848,特色餐饮-景区
ID19,ID119,0.04361848,特色餐饮-特色餐饮
ID52,ID19,0.04361848,景区-特色餐饮
ID119,ID19,0.04361848,特色餐饮-特色餐饮
ID4,ID218,0.04361848,特色餐饮-景点
ID218,ID4,0.04361848,景点-特色餐饮
ID118,ID265,0.04361848,特色餐饮-酒店
ID265,ID118,0.04361848,酒店-特色餐饮
ID1,ID228,0.04361848,特色餐饮-酒店
ID1,ID265,0.04361848,特色餐饮-酒店
ID106,ID228,0.04050574,景区-酒店
ID118,ID228,0.04050574,特色餐饮-酒店
ID222,ID228,0.04050574,景区-酒店
ID228,ID1,0.04050574,酒店-特色餐饮
ID228,ID106,0.04050574,酒店-景区
ID228,ID118,0.04050574,酒店-特色餐饮
ID228,ID222,0.04050574,酒店-景区
ID265,ID1,0.04050574,酒店-特色餐饮
ID119,ID293,0.04050574,特色餐饮-景区
ID293,ID119,0.04050574,景区-特色餐饮
ID147,ID269,0.04050574,酒店-酒店
ID269,ID147,0.04050574,酒店-酒店
ID269,ID283,0.04050574,酒店-景点
ID283,ID269,0.04050574,景点-酒店
ID324,ID391,0.04050574,特色餐饮-景区
ID391,ID324,0.04050574,景区-特色餐饮
ID190,ID261,0.03780802,景点-酒店
ID261,ID190,0.03780802,酒店-景点
ID281,ID337,0.03780802,景点-特色餐饮
ID337,ID281,0.03780802,特色餐饮-景点
ID147,ID333,0.03780802,酒店-特色餐饮
ID333,ID147,0.03780802,特色餐饮-酒店
ID48,ID229,0.03780802,景区-景点
ID48,ID290,0.03780802,景区-景区
ID229,ID48,0.03780802,景点-景区
ID290,ID48,0.03780802,景区-景区
ID52,ID119,0.03780802,景区-特色餐饮
ID119,ID52,0.03780802,特色餐饮-景区
ID74,ID313,0.03780682,景区-特色餐饮
ID80,ID313,0.03780642,景区-特色餐饮
ID313,ID74,0.037805939999999996,特色餐饮-景区
ID313,ID80,0.037805939999999996,特色餐饮-景区
ID4,ID301,0.03780522,特色餐饮-景区
ID218,ID301,0.03780518,景点-景区
ID301,ID4,0.03780494,景区-特色餐饮
ID301,ID218,0.03780494,景区-景点
ID69,ID118,0.03738954,景区-特色餐饮
ID69,ID284,0.03738954,景区-景点
ID118,ID69,0.0373885,特色餐饮-景区
ID118,ID284,0.03738794,特色餐饮-景点
ID284,ID69,0.0354425,景点-景区
ID284,ID118,0.03544178,景点-特色餐饮
ID86,ID391,0.03544178,景区-景区
ID391,ID86,0.03543906,景区-景区
ID119,ID229,0.03543898,特色餐饮-景点
ID119,ID290,0.03543894,特色餐饮-景区
ID229,ID119,0.03360156,景点-特色餐饮
ID290,ID119,0.03360156,景区-特色餐饮
ID218,ID313,0.033354720000000004,景点-特色餐饮
ID313,ID218,0.033354720000000004,特色餐饮-景点
ID106,ID265,0.033354720000000004,景区-酒店
ID228,ID265,0.03335328,酒店-酒店
ID265,ID106,0.033352400000000004,酒店-景区
ID265,ID228,0.033352400000000004,酒店-酒店
ID74,ID337,0.0333514,景区-特色餐饮
ID337,ID74,0.0333514,特色餐饮-景区
ID4,ID270,0.033073660000000005,特色餐饮-酒店
ID270,ID4,0.033073660000000005,酒店-特色餐饮
ID57,ID119,0.03150004000000001,景区-特色餐饮
ID119,ID57,0.03150004000000001,特色餐饮-景区
ID54,ID119,0.03150004000000001,景区-特色餐饮
ID119,ID54,0.03150004000000001,特色餐饮-景区
ID57,ID229,0.03150004000000001,景区-景点
ID57,ID290,0.03150004000000001,景区-景区
ID57,ID309,0.03150004000000001,景区-民宿
ID229,ID57,0.03150004000000001,景点-景区
ID229,ID309,0.03150004000000001,景点-民宿
ID290,ID57,0.03150004000000001,景区-景区
ID290,ID309,0.03150004000000001,景区-民宿
ID309,ID57,0.03150004000000001,民宿-景区
ID309,ID229,0.029843500000000002,民宿-景点
ID309,ID290,0.02984254,民宿-景区
ID4,ID52,0.029842260000000002,特色餐饮-景区
ID52,ID4,0.02984142,景区-特色餐饮
ID52,ID301,0.02984142,景区-景区
ID301,ID52,0.02984142,景区-景区
ID183,ID371,0.02984082,景区-景点
ID371,ID183,0.02983966,景点-景区
ID143,ID371,0.02983926,酒店-景点
ID371,ID143,0.02983834,景点-酒店
ID23,ID322,0.02907382,特色餐饮-特色餐饮
ID322,ID23,0.02907382,特色餐饮-特色餐饮
ID260,ID293,0.02834752,酒店-景区
ID293,ID260,0.02834732,景区-酒店
ID147,ID347,0.02834732,酒店-特色餐饮
ID347,ID147,0.02834732,特色餐饮-酒店
ID236,ID329,0.026997140000000003,特色餐饮-特色餐饮
ID329,ID236,0.026997140000000003,特色餐饮-特色餐饮
ID60,ID281,0.026997140000000003,景区-景点
ID281,ID60,0.026997140000000003,景点-景区
ID138,ID337,0.026997140000000003,酒店-特色餐饮
ID337,ID138,0.026997140000000003,特色餐饮-酒店
ID16,ID281,0.026997140000000003,特色餐饮-景点
ID281,ID16,0.026997140000000003,景点-特色餐饮
ID190,ID288,0.026997140000000003,景点-景点
ID288,ID190,0.026997140000000003,景点-景点
ID84,ID283,0.026997140000000003,景区-景点
ID283,ID84,0.026997140000000003,景点-景区
ID190,ID324,0.026997140000000003,景点-特色餐饮
ID190,ID360,0.026997140000000003,景点-酒店
ID235,ID324,0.026997140000000003,特色餐饮-特色餐饮
ID235,ID391,0.026997140000000003,特色餐饮-景区
ID324,ID190,0.026997140000000003,特色餐饮-景点
ID324,ID235,0.026997140000000003,特色餐饮-特色餐饮
ID324,ID360,0.02577092,特色餐饮-酒店
ID360,ID190,0.02577092,酒店-景点
ID360,ID324,0.02577092,酒店-特色餐饮
ID391,ID235,0.02577092,景区-特色餐饮
ID260,ID283,0.02577092,酒店-景点
ID283,ID260,0.02577092,景点-酒店
ID211,ID283,0.02577092,景点-景点
ID211,ID347,0.02577092,景点-特色餐饮
ID283,ID211,0.02577092,景点-景点
ID347,ID211,0.02577092,特色餐饮-景点
ID119,ID283,0.02577092,特色餐饮-景点
ID283,ID119,0.02577092,景点-特色餐饮
ID57,ID243,0.02577092,景区-酒店
ID243,ID57,0.02577092,酒店-景区
ID281,ID349,0.02577092,景点-特色餐饮
ID349,ID281,0.02577092,特色餐饮-景点
ID46,ID335,0.02577092,酒店-特色餐饮
ID335,ID46,0.02577092,特色餐饮-酒店
ID190,ID313,0.02577092,景点-特色餐饮
ID313,ID190,0.02577092,特色餐饮-景点
ID86,ID223,0.02577092,景区-景点
ID223,ID86,0.02577092,景点-景区
ID269,ID333,0.02577092,酒店-特色餐饮
ID333,ID269,0.02577092,特色餐饮-酒店
ID48,ID206,0.02519864,景区-景点
ID48,ID241,0.02519864,景区-酒店
ID48,ID276,0.02465132,景区-景区
ID206,ID48,0.02465132,景点-景区
ID241,ID48,0.02465132,酒店-景区
ID276,ID48,0.02465132,景区-景区
ID4,ID119,0.02429942,特色餐饮-特色餐饮
ID119,ID4,0.02429942,特色餐饮-特色餐饮
ID119,ID218,0.023625019999999997,特色餐饮-景点
ID119,ID301,0.023625019999999997,特色餐饮-景区
ID119,ID391,0.023625019999999997,特色餐饮-景区
ID218,ID119,0.023625019999999997,景点-特色餐饮
ID218,ID391,0.023625019999999997,景点-景区
ID301,ID119,0.023625019999999997,景区-特色餐饮
ID391,ID119,0.023625019999999997,景区-特色餐饮
ID391,ID218,0.023625019999999997,景区-景点
ID57,ID283,0.02326184,景区-景点
ID283,ID57,0.02326184,景点-景区
ID52,ID265,0.0226808,景区-酒店
ID52,ID313,0.0226808,景区-特色餐饮
ID265,ID52,0.0226808,酒店-景区
ID265,ID313,0.0226808,酒店-特色餐饮
ID283,ID371,0.0226808,景点-景点
ID313,ID52,0.0226808,特色餐饮-景区
ID313,ID265,0.02180924,特色餐饮-酒店
ID371,ID283,0.02180924,景点-景点
ID119,ID260,0.02180924,特色餐饮-酒店
ID260,ID119,0.02180924,酒店-特色餐饮
ID69,ID375,0.02180924,景区-景点
ID118,ID375,0.02180924,特色餐饮-景点
ID284,ID375,0.02180924,景点-景点
ID375,ID69,0.02180924,景点-景区
ID375,ID118,0.02180924,景点-特色餐饮
ID375,ID284,0.021808280000000003,景点-景点
ID86,ID313,0.021001280000000004,景区-特色餐饮
ID313,ID86,0.021001040000000002,特色餐饮-景区
ID69,ID306,0.021000920000000003,景区-景点
ID306,ID69,0.021000920000000003,景点-景区
ID1,ID145,0.020619380000000003,特色餐饮-酒店
ID145,ID1,0.020619380000000003,酒店-特色餐饮
ID69,ID262,0.020355200000000004,景区-酒店
ID262,ID69,0.020354840000000003,酒店-景区
ID115,ID323,0.0203544,景区-特色餐饮
ID115,ID348,0.020353800000000002,景区-特色餐饮
ID115,ID391,0.02024932,景区-景区
ID323,ID115,0.02024884,特色餐饮-景区
ID323,ID348,0.02024884,特色餐饮-特色餐饮
ID323,ID391,0.02024884,特色餐饮-景区
ID348,ID115,0.02024884,特色餐饮-景区
ID348,ID323,0.02024884,特色餐饮-特色餐饮
ID348,ID391,0.02024884,特色餐饮-景区
ID391,ID115,0.02024884,景区-景区
ID391,ID323,0.02024884,景区-特色餐饮
ID391,ID348,0.020247840000000003,景区-特色餐饮
ID1,ID154,0.020247840000000003,特色餐饮-景区
ID106,ID154,0.020247840000000003,景区-景区
ID118,ID154,0.02024764,特色餐饮-景区
ID154,ID1,0.02024756,景区-特色餐饮
ID154,ID106,0.020247400000000002,景区-景区
ID154,ID118,0.020246160000000003,景区-特色餐饮
ID154,ID228,0.020246160000000003,景区-酒店
ID228,ID154,0.020246160000000003,酒店-景区
ID93,ID253,0.020246160000000003,景区-酒店
ID93,ID329,0.020246160000000003,景区-特色餐饮
ID253,ID93,0.020246160000000003,酒店-景区
ID253,ID329,0.020246160000000003,酒店-特色餐饮
ID265,ID329,0.020246160000000003,酒店-特色餐饮
ID329,ID93,0.020246160000000003,特色餐饮-景区
ID329,ID253,0.020246160000000003,特色餐饮-酒店
ID329,ID265,0.020246160000000003,特色餐饮-酒店
ID74,ID177,0.020246160000000003,景区-景区
ID80,ID177,0.020246160000000003,景区-景区
ID80,ID337,0.020246160000000003,景区-特色餐饮
ID177,ID74,0.020246160000000003,景区-景区
ID177,ID80,0.020246160000000003,景区-景区
ID177,ID313,0.020246160000000003,景区-特色餐饮
ID177,ID337,0.020246160000000003,景区-特色餐饮
ID313,ID177,0.020246160000000003,特色餐饮-景区
ID313,ID337,0.020246160000000003,特色餐饮-特色餐饮
ID337,ID80,0.020246160000000003,特色餐饮-景区
ID337,ID177,0.020246160000000003,特色餐饮-景区
ID337,ID313,0.020246160000000003,特色餐饮-特色餐饮
ID270,ID313,0.020246160000000003,酒店-特色餐饮
ID313,ID270,0.020246160000000003,特色餐饮-酒店
ID57,ID270,0.020246160000000003,景区-酒店
ID119,ID270,0.020246160000000003,特色餐饮-酒店
ID270,ID57,0.020246160000000003,酒店-景区
ID270,ID119,0.020246160000000003,酒店-特色餐饮
ID119,ID313,0.0198912,特色餐饮-特色餐饮
ID313,ID119,0.0198912,特色餐饮-特色餐饮
ID225,ID260,0.019326480000000004,景点-酒店
ID260,ID225,0.019326480000000004,酒店-景点
ID19,ID54,0.018897300000000002,特色餐饮-景区
ID52,ID54,0.018897300000000002,景区-景区
ID52,ID329,0.018897300000000002,景区-特色餐饮
ID54,ID19,0.018897300000000002,景区-特色餐饮
ID54,ID52,0.018897300000000002,景区-景区
ID329,ID52,0.018897300000000002,特色餐饮-景区
ID57,ID371,0.018897300000000002,景区-景点
ID229,ID371,0.018897300000000002,景点-景点
ID290,ID371,0.018897300000000002,景区-景点
ID309,ID371,0.018897300000000002,民宿-景点
ID371,ID57,0.018897300000000002,景点-景区
ID371,ID229,0.018897300000000002,景点-景点
ID371,ID290,0.018897300000000002,景点-景区
ID371,ID309,0.018897300000000002,景点-民宿
ID229,ID283,0.018897300000000002,景点-景点
ID283,ID229,0.018897300000000002,景点-景点
ID283,ID290,0.01828818,景点-景区
ID290,ID283,0.01828818,景区-景点
ID119,ID309,0.01828818,特色餐饮-民宿
ID309,ID119,0.01828818,民宿-特色餐饮
ID4,ID93,0.01799808,特色餐饮-景区
ID4,ID358,0.01799808,特色餐饮-酒店
ID52,ID93,0.017717040000000003,景区-景区
ID93,ID4,0.017717040000000003,景区-特色餐饮
ID93,ID52,0.017717040000000003,景区-景区
ID270,ID358,0.017717040000000003,酒店-酒店
ID358,ID4,0.01718058,酒店-特色餐饮
ID358,ID270,0.01718058,酒店-酒店
ID120,ID145,0.01718058,特色餐饮-酒店
ID120,ID218,0.01718058,特色餐饮-景点
ID145,ID120,0.01718058,酒店-特色餐饮
ID218,ID120,0.01717998,景点-特色餐饮
ID19,ID260,0.01717958,特色餐饮-酒店
ID260,ID19,0.01717958,酒店-特色餐饮
ID4,ID329,0.01667468,特色餐饮-特色餐饮
ID329,ID4,0.01667468,特色餐饮-特色餐饮
ID52,ID218,0.016674440000000002,景区-景点
ID218,ID52,0.016674360000000003,景点-景区
ID57,ID75,0.016674360000000003,景区-景区
ID75,ID57,0.0166742,景区-景区
ID318,ID343,0.01667412,特色餐饮-特色餐饮
ID343,ID318,0.016673800000000003,特色餐饮-特色餐饮
ID301,ID362,0.016673800000000003,景区-景区
ID362,ID301,0.016673800000000003,景区-景区
ID8,ID190,0.01667336,特色餐饮-景点
ID190,ID8,0.016673280000000002,景点-特色餐饮
ID244,ID277,0.016673280000000002,酒店-景区
ID277,ID244,0.016673280000000002,景区-酒店
ID86,ID173,0.016197180000000002,景区-景区
ID173,ID86,0.01619694,景区-景区
ID260,ID336,0.01619694,酒店-特色餐饮
ID336,ID260,0.01619678,特色餐饮-酒店
ID258,ID371,0.015747200000000003,酒店-景点
ID371,ID258,0.015746680000000002,景点-酒店
ID141,ID225,0.01518466,酒店-景点
ID225,ID141,0.01518466,景点-酒店
ID180,ID345,0.01511722,景点-特色餐饮
ID345,ID180,0.01511722,特色餐饮-景点
ID144,ID371,0.01511722,酒店-景点
ID371,ID144,0.01511722,景点-酒店
ID296,ID301,0.01491844,酒店-景区
ID301,ID296,0.01491844,景区-酒店
ID136,ID225,0.014536180000000001,酒店-景点
ID225,ID136,0.014536180000000001,景点-酒店
ID192,ID268,0.014536180000000001,景点-酒店
ID268,ID192,0.014536180000000001,酒店-景点
ID141,ID260,0.014536180000000001,酒店-酒店
ID260,ID141,0.014536180000000001,酒店-酒店
ID336,ID371,0.014536180000000001,特色餐饮-景点
ID371,ID336,0.014536180000000001,景点-特色餐饮
ID139,ID371,0.014173,酒店-景点
ID178,ID371,0.014173,景区-景点
ID371,ID139,0.014173,景点-酒店
ID371,ID178,0.014173,景点-景区
ID101,ID371,0.0134986,景区-景点
ID371,ID101,0.0134986,景点-景区
ID303,ID371,0.0134986,酒店-景点
ID371,ID303,0.0134986,景点-酒店
ID196,ID371,0.0134986,民宿-景点
ID371,ID196,0.0134986,景点-民宿
ID93,ID336,0.0134986,景区-特色餐饮
ID336,ID93,0.0134986,特色餐饮-景区
ID246,ID371,0.0134986,酒店-景点
ID371,ID246,0.0134986,景点-酒店
ID102,ID371,0.0134986,景区-景点
ID371,ID102,0.0134986,景点-景区
ID75,ID353,0.0134986,景区-酒店
ID353,ID75,0.0134986,酒店-景区
ID301,ID303,0.0134986,景区-酒店
ID303,ID301,0.0134986,酒店-景区
ID19,ID336,0.0134986,特色餐饮-特色餐饮
ID336,ID19,0.0134986,特色餐饮-特色餐饮
ID19,ID146,0.0134986,特色餐饮-酒店
ID146,ID19,0.0134986,酒店-特色餐饮
ID132,ID371,0.013339420000000001,酒店-景点
ID371,ID132,0.0133393,景点-酒店
ID210,ID313,0.0131841,景点-特色餐饮
ID313,ID210,0.0131841,特色餐饮-景点
ID215,ID313,0.0128847,景区-特色餐饮
ID313,ID215,0.0128847,特色餐饮-景区
ID22,ID148,0.01288454,特色餐饮-酒店
ID148,ID22,0.01288434,酒店-特色餐饮
ID48,ID211,0.0125982,景区-景点
ID48,ID314,0.0125982,景区-特色餐饮
ID48,ID333,0.0125982,景区-特色餐饮
ID211,ID48,0.01259788,景点-景区
ID211,ID314,0.01259788,景点-特色餐饮
ID314,ID48,0.01259788,特色餐饮-景区
ID314,ID211,0.01250522,特色餐饮-景点
ID314,ID333,0.012504939999999999,特色餐饮-特色餐饮
ID333,ID48,0.01245896,特色餐饮-景区
ID333,ID314,0.01245896,特色餐饮-特色餐饮
ID30,ID314,0.01232366,酒店-特色餐饮
ID314,ID30,0.01232366,特色餐饮-酒店
ID307,ID314,0.012241819999999999,景点-特色餐饮
ID314,ID307,0.012241819999999999,特色餐饮-景点
ID283,ID292,0.01212608,景点-景区
ID292,ID283,0.01212608,景区-景点
ID292,ID314,0.01181048,景区-特色餐饮
ID314,ID292,0.01181048,特色餐饮-景区
ID24,ID279,0.0113384,特色餐饮-景区
ID279,ID24,0.0113384,景区-特色餐饮
ID371,ID386,0.0113384,景点-景点
ID386,ID371,0.0113384,景点-景点
ID53,ID337,0.01113608,景区-特色餐饮
ID337,ID53,0.01113608,特色餐饮-景区
ID4,ID360,0.01111622,特色餐饮-酒店
ID360,ID4,0.01111622,酒店-特色餐饮
ID108,ID272,0.01111622,景区-景区
ID272,ID108,0.01111622,景区-景区
ID53,ID124,0.01111622,景区-酒店
ID53,ID322,0.01111622,景区-特色餐饮
ID124,ID53,0.01111622,酒店-景区
ID322,ID53,0.01111622,特色餐饮-景区
ID46,ID190,0.01111622,酒店-景点
ID46,ID235,0.01111622,酒店-特色餐饮
ID46,ID324,0.01111622,酒店-特色餐饮
ID46,ID360,0.01111622,酒店-酒店
ID46,ID391,0.01061132,酒店-景区
ID190,ID46,0.01061132,景点-酒店
ID190,ID235,0.01049912,景点-特色餐饮
ID235,ID46,0.01049912,特色餐饮-酒店
ID235,ID190,0.01049912,特色餐饮-景点
ID235,ID360,0.01049912,特色餐饮-酒店
ID324,ID46,0.010308379999999999,特色餐饮-酒店
ID360,ID46,0.010308379999999999,酒店-酒店
ID360,ID235,0.010308379999999999,酒店-特色餐饮
ID391,ID46,0.010308379999999999,景区-酒店
ID89,ID378,0.010308379999999999,景区-景区
ID378,ID89,0.010308379999999999,景区-景区
ID48,ID72,0.010308379999999999,景区-景区
ID72,ID48,0.010308379999999999,景区-景区
ID190,ID302,0.010308379999999999,景点-景区
ID302,ID190,0.010308379999999999,景区-景点
ID63,ID190,0.01012442,景区-景点
ID190,ID63,0.01012442,景点-景区
ID96,ID381,0.010124300000000001,景区-景点
ID381,ID96,0.010124300000000001,景点-景区
ID57,ID364,0.010124300000000001,景区-景区
ID364,ID57,0.010124020000000001,景区-景区
ID283,ID383,0.01006394,景点-景点
ID383,ID283,0.010063820000000001,景点-景点
ID55,ID346,0.00994622,景区-特色餐饮
ID346,ID55,0.00994622,特色餐饮-景区
ID147,ID211,0.00994622,酒店-景点
ID211,ID147,0.00994622,景点-酒店
ID190,ID218,0.00994622,景点-景点
ID218,ID190,0.00994622,景点-景点
ID218,ID288,0.00994622,景点-景点
ID288,ID218,0.00994622,景点-景点
ID86,ID300,0.00994622,景区-景区
ID86,ID346,0.00994622,景区-特色餐饮
ID86,ID378,0.009774860000000002,景区-景区
ID300,ID86,0.009774860000000002,景区-景区
ID346,ID86,0.009774860000000002,特色餐饮-景区
ID378,ID86,0.009774860000000002,景区-景区
ID13,ID48,0.009774740000000002,特色餐饮-景区
ID48,ID13,0.009774620000000001,景区-特色餐饮
ID108,ID332,0.0095444,景区-特色餐饮
ID332,ID108,0.0095444,特色餐饮-景区
ID270,ID364,0.009448699999999999,酒店-景区
ID364,ID270,0.009448699999999999,景区-酒店
ID243,ID308,0.009448699999999999,酒店-景点
ID308,ID243,0.009448699999999999,景点-酒店
ID308,ID357,0.00914408,景点-酒店
ID357,ID308,0.00914408,酒店-景点
ID28,ID283,0.00899906,酒店-景点
ID283,ID28,0.00899906,景点-酒店
ID57,ID357,0.00899906,景区-酒店
ID357,ID57,0.00899906,酒店-景区
ID19,ID293,0.00899906,特色餐饮-景区
ID52,ID293,0.00899906,景区-景区
ID293,ID19,0.00877634,景区-特色餐饮
ID293,ID52,0.00877634,景区-景区
ID281,ID391,0.0087224,景点-景区
ID337,ID391,0.0087224,特色餐饮-景区
ID391,ID281,0.0087224,景区-景点
ID391,ID337,0.0087224,景区-特色餐饮
ID190,ID206,0.00859034,景点-景点
ID190,ID241,0.00859034,景点-酒店
ID190,ID276,0.00859034,景点-景区
ID206,ID190,0.00859034,景点-景点
ID241,ID190,0.00859034,酒店-景点
ID276,ID190,0.00859034,景区-景点
ID13,ID241,0.00859034,特色餐饮-酒店
ID229,ID241,0.00859034,景点-酒店
ID241,ID13,0.00859034,酒店-特色餐饮
ID241,ID229,0.00859034,酒店-景点
ID241,ID290,0.00858998,酒店-景区
ID290,ID241,0.00858998,景区-酒店
ID48,ID142,0.00858998,景区-酒店
ID48,ID381,0.00858982,景区-景点
ID142,ID48,0.00858982,酒店-景区
ID381,ID48,0.00858982,景点-景区
ID124,ID281,0.00858982,酒店-景点
ID124,ID349,0.00858982,酒店-特色餐饮
ID124,ID381,0.00858982,酒店-景点
ID281,ID124,0.00858982,景点-酒店
ID281,ID322,0.00858974,景点-特色餐饮
ID281,ID381,0.00858938,景点-景点
ID322,ID281,0.00858938,特色餐饮-景点
ID322,ID349,0.00858938,特色餐饮-特色餐饮
ID322,ID381,0.00858938,特色餐饮-景点
ID349,ID124,0.00858938,特色餐饮-酒店
ID349,ID322,0.00858938,特色餐饮-特色餐饮
ID349,ID381,0.00858938,特色餐饮-景点
ID381,ID124,0.00858938,景点-酒店
