语料ID,文本,产品名称,年份,产品ID,情感得分,出现频次,产品热度总分,产品热度,产品类型判断文本,产品类型
餐饮评论-4065,环境 比较 清新 优雅 菜品 挺 麻辣烫 甜品 寿司 喜欢 家 麻辣味 小龙虾 水煮 肉片 酸菜鱼 超级 美味 遗憾 每次 螃蟹 抢到 很值 下次 光顾 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID3065,0.28378378378378377,200,600.5675675675676,0.0002429013562542499,餐饮评论-4065 环境 比较 清新 优雅 菜品 挺 麻辣烫 甜品 寿司 喜欢 家 麻辣味 小龙虾 水煮 肉片 酸菜鱼 超级 美味 遗憾 每次 螃蟹 抢到 很值 下次 光顾 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-4587,奈斯 一次 五一 比较 晚 吃 不多 最后 小姐姐 送来 两个 小 玩偶 可爱 小姐姐 可爱 辛苦 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID3587,0.2830188679245283,200,600.566037735849,0.0002429007375092171,餐饮评论-4587 奈斯 一次 五一 比较 晚 吃 不多 最后 小姐姐 送来 两个 小 玩偶 可爱 小姐姐 可爱 辛苦 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-3568,爱 爱 物超所值 吃海鲜 吃饱 超赞 时值 得来 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID2568,0.28205128205128205,200,600.5641025641025,0.00024289995482319277,餐饮评论-3568 爱 爱 物超所值 吃海鲜 吃饱 超赞 时值 得来 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-4992,环境 不错 觉得 热 白天 人 比较 少 晚上 撸 串 聚会 噢 说真的 这家 家 好吃 肉 新鲜 嚼 劲 一块 肉 厚实 加 辣椒 太 好吃 物超所值 真的 高 老板 好 哈哈哈 套餐 人现 烤羊肉 套餐 人现 烤羊肉 套餐,草原郎烤羊,2021,ID3992,0.2804878048780488,200,600.560975609756,0.00024289869011711685,餐饮评论-4992 环境 不错 觉得 热 白天 人 比较 少 晚上 撸 串 聚会 噢 说真的 这家 家 好吃 肉 新鲜 嚼 劲 一块 肉 厚实 加 辣椒 太 好吃 物超所值 真的 高 老板 好 哈哈哈 套餐 人现 烤羊肉 套餐 人现 烤羊肉 套餐,特色餐饮
餐饮评论-5589,不错 用餐 愉快 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID4589,0.2777777777777778,200,600.5555555555555,0.0002428964979599186,餐饮评论-5589 不错 用餐 愉快 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-4667,挺好吃 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID3667,0.26666666666666666,200,600.5333333333333,0.00024288751011540573,餐饮评论-4667 挺好吃 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-4340,巨 好吃 天地良心 韩式 炸鸡 选,Hello炸鸡（方兴店）,2021,ID3340,0.26666666666666666,200,600.5333333333333,0.00024288751011540573,餐饮评论-4340 巨 好吃 天地良心 韩式 炸鸡 选,特色餐饮
餐饮评论-3837,吃 完 牛排 再 慢慢 享受 自助餐 水煮 肉片 寿司 麻辣烫 任吃值 赞赞赞 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID2837,0.2647058823529412,200,600.5294117647059,0.0002428859240251976,餐饮评论-3837 吃 完 牛排 再 慢慢 享受 自助餐 水煮 肉片 寿司 麻辣烫 任吃值 赞赞赞 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-3602,味道 老板 人 好 墙裂 韩式 炸鸡 选,Hello炸鸡（方兴店）,2021,ID2602,0.2608695652173913,200,600.5217391304348,0.00024288282080522512,餐饮评论-3602 味道 老板 人 好 墙裂 韩式 炸鸡 选,特色餐饮
餐饮评论-5327,难吃 下次 下次 招牌 四人餐 包间,椒王火锅（电白店）,2021,ID4327,0.25925925925925924,200,600.5185185185185,0.00024288151821906382,餐饮评论-5327 难吃 下次 下次 招牌 四人餐 包间,特色餐饮
餐饮评论-4011,真不愧是 好 牛排 好 自助 五十多 块钱 菜品 海鲜 值 不错 不错 再来 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID3011,0.2571428571428571,200,600.5142857142857,0.00024287980624868047,餐饮评论-4011 真不愧是 好 牛排 好 自助 五十多 块钱 菜品 海鲜 值 不错 不错 再来 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-6190,好吃 便宜 好 高现 烤羊肉 套餐 建议 人,草原郎烤羊,2021,ID5190,0.25,200,600.5,0.00024287402834863647,餐饮评论-6190 好吃 便宜 好 高现 烤羊肉 套餐 建议 人,特色餐饮
餐饮评论-5538,好吃 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID4538,0.25,200,600.5,0.00024287402834863647,餐饮评论-5538 好吃 浪漫 双人 餐份,特色餐饮
餐饮评论-5084,浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID4084,0.25,200,600.5,0.00024287402834863647,餐饮评论-5084 浪漫 双人 餐份,特色餐饮
餐饮评论-7686,好 汤 好喝 人餐 包间,椒王火锅（电白店）,2021,ID6686,0.25,200,600.5,0.00024287402834863647,餐饮评论-7686 好 汤 好喝 人餐 包间,特色餐饮
餐饮评论-5052,好吃 新鲜 人现 烤羊肉 套餐,草原郎烤羊,2021,ID4052,0.25,200,600.5,0.00024287402834863647,餐饮评论-5052 好吃 新鲜 人现 烤羊肉 套餐,特色餐饮
餐饮评论-4180,好吃 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID3180,0.25,200,600.5,0.00024287402834863647,餐饮评论-4180 好吃 浪漫 双人 餐份,特色餐饮
餐饮评论-5840,不错 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID4840,0.25,200,600.5,0.00024287402834863647,餐饮评论-5840 不错 浪漫 双人 餐份,特色餐饮
餐饮评论-7265,好吃 好吃 杰伦 同款 奶茶 选,Hello炸鸡（方兴店）,2021,ID6265,0.25,200,600.5,0.00024287402834863647,餐饮评论-7265 好吃 好吃 杰伦 同款 奶茶 选,特色餐饮
餐饮评论-3040,太 好吃 老板娘 人 好 主动 说 双拼 蜂蜜 芥末 蒜 香 奶酪 好吃 店里 环境 好 老板娘 人 好 可爱 机会 再来 韩式 炸鸡 选,Hello炸鸡（方兴店）,2020,ID2040,0.25,200,600.5,0.00024287402834863647,餐饮评论-3040 太 好吃 老板娘 人 好 主动 说 双拼 蜂蜜 芥末 蒜 香 奶酪 好吃 店里 环境 好 老板娘 人 好 可爱 机会 再来 韩式 炸鸡 选,特色餐饮
餐饮评论-5775,好吃 牛扒 热热 吃 很棒 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID4775,0.25,200,600.5,0.00024287402834863647,餐饮评论-5775 好吃 牛扒 热热 吃 很棒 浪漫 双人 餐份,特色餐饮
餐饮评论-7229,第一次 这家 店 环境 不错 够 宽敞 卫生 干净 整洁 高自 自助餐 菜品 味道 还好 服务员 人 感觉 下次 还来 强强 强 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID6229,0.25,200,600.5,0.00024287402834863647,餐饮评论-7229 第一次 这家 店 环境 不错 够 宽敞 卫生 干净 整洁 高自 自助餐 菜品 味道 还好 服务员 人 感觉 下次 还来 强强 强 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-3838,牛排 好吃 自助餐 好吃 每次 海鲜 棒棒 滴 强强 强 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID2838,0.24390243902439024,200,600.4878048780488,0.0002428690959949404,餐饮评论-3838 牛排 好吃 自助餐 好吃 每次 海鲜 棒棒 滴 强强 强 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-3318,好吃 好吃 老板娘 好 最 喜欢 香香 柚子 口味 套餐 韩式 炸鸡 选韩式 炸鸡 选,Hello炸鸡（方兴店）,2020,ID2318,0.24242424242424243,200,600.4848484848485,0.00024286790027283224,餐饮评论-3318 好吃 好吃 老板娘 好 最 喜欢 香香 柚子 口味 套餐 韩式 炸鸡 选韩式 炸鸡 选,特色餐饮
餐饮评论-3498,最 喜欢 炸鸡 口味 好吃 爱爱爱 姐姐 超级 温柔 超级 漂亮 韩式 炸鸡 选,Hello炸鸡（方兴店）,2020,ID2498,0.24242424242424243,200,600.4848484848485,0.00024286790027283224,餐饮评论-3498 最 喜欢 炸鸡 口味 好吃 爱爱爱 姐姐 超级 温柔 超级 漂亮 韩式 炸鸡 选,特色餐饮
餐饮评论-4742,味道 不错 不贵 总体 不错 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID3742,0.23809523809523808,200,600.4761904761905,0.00024286439851522985,餐饮评论-4742 味道 不错 不贵 总体 不错 浪漫 双人 餐份,特色餐饮
餐饮评论-7276,好吃 做 赞炸 年糕 份,Hello炸鸡（方兴店）,2021,ID6276,0.23809523809523808,200,600.4761904761905,0.00024286439851522985,餐饮评论-7276 好吃 做 赞炸 年糕 份,特色餐饮
餐饮评论-5588,环境 不错 菜式 用餐 愉快 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID4588,0.23809523809523808,200,600.4761904761905,0.00024286439851522985,餐饮评论-5588 环境 不错 菜式 用餐 愉快 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-5546,好吃 好好 环境 舒适 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID4546,0.23529411764705882,200,600.4705882352941,0.00024286213267207533,餐饮评论-5546 好吃 好好 环境 舒适 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-3660,好吃 好吃 皮皮虾 挺不错 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID2660,0.23529411764705882,200,600.4705882352941,0.00024286213267207533,餐饮评论-3660 好吃 好吃 皮皮虾 挺不错 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-3792,良心话 算 不错 高 卫生 不错 好 座位 舒适 菜品 干净 量足元 代金券 张可 叠加 张,十七门重庆老火锅（电白万达店）,2021,ID2792,0.23404255319148937,200,600.468085106383,0.00024286112027407014,餐饮评论-3792 良心话 算 不错 高 卫生 不错 好 座位 舒适 菜品 干净 量足元 代金券 张可 叠加 张,特色餐饮
餐饮评论-6975,很棒 回头客 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID5975,0.23076923076923078,200,600.4615384615385,0.00024285847246390268,餐饮评论-6975 很棒 回头客 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-6393,四口 吃 两人 套餐 加 意面 很饱 小孩子 开心 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID5393,0.23076923076923078,200,600.4615384615385,0.00024285847246390268,餐饮评论-6393 四口 吃 两人 套餐 加 意面 很饱 小孩子 开心 浪漫 双人 餐份,特色餐饮
餐饮评论-4341,巨 好吃 天地良心 炸 年糕 份,Hello炸鸡（方兴店）,2021,ID3341,0.23076923076923078,200,600.4615384615385,0.00024285847246390268,餐饮评论-4341 巨 好吃 天地良心 炸 年糕 份,特色餐饮
餐饮评论-7109,份量 菜品 好吃 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID6109,0.23076923076923078,200,600.4615384615385,0.00024285847246390268,餐饮评论-7109 份量 菜品 好吃 浪漫 双人 餐份,特色餐饮
餐饮评论-7611,不错 菜品 环境优美 舒适 小姐姐 招待 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID6611,0.22727272727272727,200,600.4545454545455,0.00024285564412122382,餐饮评论-7611 不错 菜品 环境优美 舒适 小姐姐 招待 浪漫 双人 餐份,特色餐饮
餐饮评论-2961,老板娘 好 奶茶 不甜 不腻 拼团 喜欢 家 炸鸡 不错 杰伦 同款 奶茶 选,Hello炸鸡（方兴店）,2020,ID1961,0.22580645161290322,200,600.4516129032259,0.00024285445804203592,餐饮评论-2961 老板娘 好 奶茶 不甜 不腻 拼团 喜欢 家 炸鸡 不错 杰伦 同款 奶茶 选,特色餐饮
餐饮评论-3152,好吃 吃完饭 吃得下 兴趣 试试 韩式 炸鸡 选,Hello炸鸡（方兴店）,2020,ID2152,0.2222222222222222,200,600.4444444444445,0.00024285155873735433,餐饮评论-3152 好吃 吃完饭 吃得下 兴趣 试试 韩式 炸鸡 选,特色餐饮
餐饮评论-7870,超 好吃 人餐 包间,椒王火锅（电白店）,2021,ID6870,0.2222222222222222,200,600.4444444444445,0.00024285155873735433,餐饮评论-7870 超 好吃 人餐 包间,特色餐饮
餐饮评论-6450,超 好吃 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID5450,0.2222222222222222,200,600.4444444444445,0.00024285155873735433,餐饮评论-6450 超 好吃 浪漫 双人 餐份,特色餐饮
餐饮评论-6449,好 好吃 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID5449,0.2222222222222222,200,600.4444444444445,0.00024285155873735433,餐饮评论-6449 好 好吃 浪漫 双人 餐份,特色餐饮
餐饮评论-3426,好吃 炸酱面 份,Hello炸鸡（方兴店）,2020,ID2426,0.2222222222222222,200,600.4444444444445,0.00024285155873735433,餐饮评论-3426 好吃 炸酱面 份,特色餐饮
餐饮评论-4159,喜欢 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID3159,0.2222222222222222,200,600.4444444444445,0.00024285155873735433,餐饮评论-4159 喜欢 浪漫 双人 餐份,特色餐饮
餐饮评论-6289,口味 好 环境 美 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID5289,0.2222222222222222,200,600.4444444444445,0.00024285155873735433,餐饮评论-6289 口味 好 环境 美 浪漫 双人 餐份,特色餐饮
餐饮评论-7569,人餐 包间,椒王火锅（电白店）,2021,ID6569,0.2222222222222222,200,600.4444444444445,0.00024285155873735433,餐饮评论-7569 人餐 包间,特色餐饮
餐饮评论-6324,味道 不错 菜品 新鲜 味道 好 会去 吃 环境 好 小吃 爱 吃火锅 必备 店 每次 主城区 玩 会去 吃 有时候 人 排队 味道好 人 吃 好 吃 喜欢 吃火锅 吃 耐史 元 代金券 张可 叠加 张,十七门重庆老火锅（电白万达店）,2021,ID5324,0.2222222222222222,200,600.4444444444445,0.00024285155873735433,餐饮评论-6324 味道 不错 菜品 新鲜 味道 好 会去 吃 环境 好 小吃 爱 吃火锅 必备 店 每次 主城区 玩 会去 吃 有时候 人 排队 味道好 人 吃 好 吃 喜欢 吃火锅 吃 耐史 元 代金券 张可 叠加 张,特色餐饮
餐饮评论-3507,这家 炸鸡 超级 超级 好吃 老板娘 温柔 漂亮 韩式 炸鸡 选,Hello炸鸡（方兴店）,2020,ID2507,0.21739130434782608,200,600.4347826086956,0.00024284765097887047,餐饮评论-3507 这家 炸鸡 超级 超级 好吃 老板娘 温柔 漂亮 韩式 炸鸡 选,特色餐饮
餐饮评论-3559,服务员 菜品 喜欢 吃 赶紧 吃 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID2559,0.21428571428571427,200,600.4285714285714,0.0002428451388484166,餐饮评论-3559 服务员 菜品 喜欢 吃 赶紧 吃 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-4732,套餐 浪漫 双人 餐 牛扒 面包 水果 沙拉 汤 还行 鱿鱼 有点 苦 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID3732,0.21428571428571427,200,600.4285714285714,0.0002428451388484166,餐饮评论-4732 套餐 浪漫 双人 餐 牛扒 面包 水果 沙拉 汤 还行 鱿鱼 有点 苦 浪漫 双人 餐份,特色餐饮
餐饮评论-3068,套餐 韩式 炸鸡 选 好吃 味道 很赞 老板 韩式 炸鸡 选,Hello炸鸡（方兴店）,2020,ID2068,0.21428571428571427,200,600.4285714285714,0.0002428451388484166,餐饮评论-3068 套餐 韩式 炸鸡 选 好吃 味道 很赞 老板 韩式 炸鸡 选,特色餐饮
餐饮评论-6519,不错 试一下 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID5519,0.21428571428571427,200,600.4285714285714,0.0002428451388484166,餐饮评论-6519 不错 试一下 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-4436,餐品 味道 不错 可惜 自助餐 量 比较 少 难吃 喜欢 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID3436,0.21428571428571427,200,600.4285714285714,0.0002428451388484166,餐饮评论-4436 餐品 味道 不错 可惜 自助餐 量 比较 少 难吃 喜欢 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-3628,一米 肥牛 卷 每次 必点 肥牛 好吃 家 凉粉 小食 火锅店 菜品 锅底 番茄 锅 鸳鸯锅 清淡 些 吃 番茄 锅 菌 鸳鸯 火锅 没下 东西 之前 汤 喝 服务员 好 上菜 很快 环境 好 元 代金券 张可 叠加 张,十七门重庆老火锅（电白万达店）,2021,ID2628,0.21176470588235294,200,600.4235294117647,0.00024284309958957752,餐饮评论-3628 一米 肥牛 卷 每次 必点 肥牛 好吃 家 凉粉 小食 火锅店 菜品 锅底 番茄 锅 鸳鸯锅 清淡 些 吃 番茄 锅 菌 鸳鸯 火锅 没下 东西 之前 汤 喝 服务员 好 上菜 很快 环境 好 元 代金券 张可 叠加 张,特色餐饮
餐饮评论-7006,环境 好 菜品 工作人员 好好 好吃 贵族 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID6006,0.21052631578947367,200,600.421052631579,0.00024284209784839343,餐饮评论-7006 环境 好 菜品 工作人员 好好 好吃 贵族 牛排 套餐 建议 单人,特色餐饮
餐饮评论-6083,用餐 环境 菜品 味道 豪华 双人 套餐 包间,友情有意音乐餐厅,2021,ID5083,0.21052631578947367,200,600.421052631579,0.00024284209784839343,餐饮评论-6083 用餐 环境 菜品 味道 豪华 双人 套餐 包间,特色餐饮
餐饮评论-7447,味道 不错 小朋友 喜欢 吃 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID6447,0.21052631578947367,200,600.421052631579,0.00024284209784839343,餐饮评论-7447 味道 不错 小朋友 喜欢 吃 浪漫 双人 餐份,特色餐饮
餐饮评论-6864,服务员 每次 上菜 哈哈哈 有趣 开心 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID5864,0.20833333333333334,200,600.4166666666666,0.00024284032393171324,餐饮评论-6864 服务员 每次 上菜 哈哈哈 有趣 开心 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-3457,套餐 韩式 炸鸡 选 真的 好吃 韩式 炸鸡 选,Hello炸鸡（方兴店）,2020,ID2457,0.20833333333333334,200,600.4166666666666,0.00024284032393171324,餐饮评论-3457 套餐 韩式 炸鸡 选 真的 好吃 韩式 炸鸡 选,特色餐饮
餐饮评论-5253,羊排 羊肉 味道 不错 茄子 奈斯 羊蹄 儿 喜欢 撸 串 尝尝 现 烤羊肉 套餐 建议 人,草原郎烤羊,2021,ID4253,0.20588235294117646,200,600.4117647058823,0.00024283834131895305,餐饮评论-5253 羊排 羊肉 味道 不错 茄子 奈斯 羊蹄 儿 喜欢 撸 串 尝尝 现 烤羊肉 套餐 建议 人,特色餐饮
餐饮评论-5367,以前 以前 份量 少 小孩 喜欢 吃 高 环境 不错 炒菜 口味 比较 好 总体 来说 这种 环境 不错 高 好 炒菜 味道好 美团 凑 字 凑 字 凑 字 凑 字 凑 字 凑 字 凑 字 凑 字 豪华 双人 套餐 包间,友情有意音乐餐厅,2021,ID4367,0.20238095238095238,200,600.4047619047619,0.00024283550901500994,餐饮评论-5367 以前 以前 份量 少 小孩 喜欢 吃 高 环境 不错 炒菜 口味 比较 好 总体 来说 这种 环境 不错 高 好 炒菜 味道好 美团 凑 字 凑 字 凑 字 凑 字 凑 字 凑 字 凑 字 凑 字 豪华 双人 套餐 包间,特色餐饮
餐饮评论-3167,一上 生 蚝 扇贝 花蟹 皮皮虾 水煮鱼 抢 完 经理 过来 太 可爱 手势 过去 东西 挺 拍照 爆米花 电影院 好吃 好香 好吃 脆 骨肉 经理 还给 盛过来 吃饱 之后 门口 外面 气球 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2020,ID2167,0.20224719101123595,200,600.4044943820224,0.00024283540081463458,餐饮评论-3167 一上 生 蚝 扇贝 花蟹 皮皮虾 水煮鱼 抢 完 经理 过来 太 可爱 手势 过去 东西 挺 拍照 爆米花 电影院 好吃 好香 好吃 脆 骨肉 经理 还给 盛过来 吃饱 之后 门口 外面 气球 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-7338,好吃 味道 不错 环境 优雅 水果 不错 豪华 双人 套餐 包间,友情有意音乐餐厅,2021,ID6338,0.2,200,600.4,0.0002428335830483286,餐饮评论-7338 好吃 味道 不错 环境 优雅 水果 不错 豪华 双人 套餐 包间,特色餐饮
餐饮评论-3151,炸鸡 老板 强力 韩式 炸鸡 选,Hello炸鸡（方兴店）,2020,ID2151,0.2,200,600.4,0.0002428335830483286,餐饮评论-3151 炸鸡 老板 强力 韩式 炸鸡 选,特色餐饮
餐饮评论-4860,牛排 不错 自助 时 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID3860,0.2,200,600.4,0.0002428335830483286,餐饮评论-4860 牛排 不错 自助 时 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-7833,不错 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID6833,0.2,200,600.4,0.0002428335830483286,餐饮评论-7833 不错 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-3813,喜欢 生 蚝 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID2813,0.2,200,600.4,0.0002428335830483286,餐饮评论-3813 喜欢 生 蚝 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-5460,麦兜 小姐姐 超好 招牌 四人餐 包间,椒王火锅（电白店）,2021,ID4460,0.2,200,600.4,0.0002428335830483286,餐饮评论-5460 麦兜 小姐姐 超好 招牌 四人餐 包间,特色餐饮
餐饮评论-5175,味道 好 肉 肉 吃 过瘾 还会 再 吃 试试 现 烤羊肉 套餐 建议 人,草原郎烤羊,2021,ID4175,0.2,200,600.4,0.0002428335830483286,餐饮评论-5175 味道 好 肉 肉 吃 过瘾 还会 再 吃 试试 现 烤羊肉 套餐 建议 人,特色餐饮
餐饮评论-4193,贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID3193,0.2,200,600.4,0.0002428335830483286,餐饮评论-4193 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-4933,肉 新鲜 嚼 劲 一串 很大 串 老板 好 新鲜 羊肉 太 好吃 套餐 人现 烤羊肉 套餐 人现 烤羊肉 套餐,草原郎烤羊,2021,ID3933,0.2,200,600.4,0.0002428335830483286,餐饮评论-4933 肉 新鲜 嚼 劲 一串 很大 串 老板 好 新鲜 羊肉 太 好吃 套餐 人现 烤羊肉 套餐 人现 烤羊肉 套餐,特色餐饮
餐饮评论-2980,好 炸酱面 份,Hello炸鸡（方兴店）,2020,ID1980,0.2,200,600.4,0.0002428335830483286,餐饮评论-2980 好 炸酱面 份,特色餐饮
